Brand,Company,Date,ProductDescription,ProductType,Reason,Url,Terminated
Mauna Loa,"Mauna Loa Macadamia Nut Company, LLC",02/15/2025,Mauna Loa Milk Chocolate Covered Macadamias,Food & Beverages,Undeclared almonds,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mauna-loa-macadamia-nut-company-llc-issues-product-recall-undeclared-almonds-mauna-loa-milk,
ICU Medical,ICU Medical,02/14/2025,POTASSIUM CHLORIDE Inj. 20 mEq and 10 mEq,Drugs,Bags of POTASSIUM CHLORIDE Inj. 20 mEq have incorrect overwrap labels which state POTASSIUM CHLORIDE Inj. 10 mEq.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/icu-medical-issues-nationwide-recall-potassium-chloride-injection-20-meq-and-potassium-chloride,
"Cub Foods, Jerrys Foods, Country Market",JE Bakery LLC DBA Broadway Bakery,02/14/2025,Raisin Bran Muffin,Food & Beverages,Undeclared walnuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/je-bakery-2019-llc-dba-broadway-bakery-issues-allergy-alert-mislabeled-raisin-bran-muffin-6-count,
CHOSHIYA,AKT Trading Inc.,02/12/2025,Menma Ajitsuke Prepared Bamboo Shoot,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Botulism,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/akt-trading-inc-recalls-seasoned-bamboo-shoots-because-possible-health-risk,
"Genova, Van Camp’s, H-E-B, Trader Joe’s",Tri-Union Seafoods,02/10/2025,Canned tuna,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Botulism,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tri-union-seafoods-issues-recall-select-genovar-van-campsr-h-e-b-and-trader-joesr-tuna-cans-due,
Jack & the Green Sprouts,"Jack and the Green Sprouts, Inc.",02/08/2025,Alfalfa Sprouts,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jack-and-green-sprouts-recalls-expired-alfalfa-sprouts-because-possible-health-risk,
Aleppo,Turkana Food Inc.,02/06/2025,Tahini Sesame Paste,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/turkana-food-inc-recalls-aleppo-tahini-sesame-paste-1lb-16oz-because-possible-health-risk,
Alvogen,"Alvogen, Inc.",01/31/2025,Fentanyl Transdermal System 25 mcg/h transdermal patches,Drugs,"There is potential that patches could be multi-stacked, adhered one on top of the other, in a single product pouch",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/alvogen-issues-voluntary-nationwide-recall-one-lot-fentanyl-transdermal-system-25-mcgh-due-defective,
Blue Ridge Beef,Blue Ridge Beef,01/31/2025,Natural Mix,"Animal & Veterinary, Foodborne Illness, Pet Food, Food & Beverages, Foodborne Illness, Pet Food",Salmonella contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-ridge-beef-issues-recall-blue-ridge-beef-natural-mix-due-salmonella-contamination,
Gerber,Gerber Products Company,01/31/2025,Gerber® Soothe N Chew® Teething Sticks,"Food & Beverages, Foodborne Illness",Potential choking hazard for babies and young children,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gerber-products-company-announces-recall-and-discontinuation-all-batches-gerberr-soothe-n-chewr,
Olympus,Olympus Corporation,01/30/2025,MAJ-891 endoscope accessory,Medical Devices,Risk of device contamination that may result from improper reprocessing.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/olympus-issues-medical-device-advisory-notice-use-alternative-devices-maj-891-forcepsirrigation-plug,
Fresh Direct,United Natural Trading LLC,01/30/2025,Dark Chocolate Covered Pretzels,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/united-natural-trading-llc-announces-allergy-alert-undeclared-milk-fresh-direct-dark-chocolate,
La Fiesta,"La Fiesta Food Products, LLC.",01/28/2025,Breadcrumbs (pan Rayado),"Food & Beverages, Allergens",Undeclared allergen (sesame),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall-la-fiesta-brand-bread-crumbs-unseasoned-and-seasoned-undeclared-sesame,
Shirakiku,"Wismettac Asian Foods, Inc.",01/28/2025,Snack foods-Corn Puffs,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wismettac-asian-foods-issues-allergy-alert-undeclared-milk-curvee-puffs-corn-puff-snack,
Zaarah Herbals,New York Wholesale Group,01/27/2025,Shatavari Powder,"Food & Beverages, Contaminants",Product may be contaminated with elevated levels of lead.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-york-wholesale-group-recalls-zaarah-herbals-shatavari-powder-because-possible-health-risk,
Provepharm Inc.,Provepharm Inc.,01/24/2025,"Phenylephrine hydrochloride Injection, USP, 10 mg/ mL",Drugs,Device & Drug Safety – Potential Foreign Material,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/provepharm-inc-issues-voluntary-nationwide-recall-one-lot-phenylephrine-hydrochloride-injection-usp,
"Wabash Valley Farms, Rural King",TS FOOD PACKAGING,01/24/2025,Bacon flavor popcorn seasoning,"Food & Beverages, Allergens",Potential or Undeclared Allergen – soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ts-food-packaging-recalling-its-rural-king-and-wabash-valley-farms-bacon-seasoning-due-presence,
Paras,Apna Wholesale Inc,01/22/2025,Premium Golden Raisins,Food & Beverages,Undeclared Sulfites,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/apna-wholesale-issues-alert-undeclared-sulfites-paras-premium-golden-raisins,
Colussi,D. Coluccio & Sons,01/21/2025,“Colussi Cantuccini Chocolate Drops” chocolate chip cookies,Food & Beverages,Undeclared almond,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/d-coluccio-sons-issues-allergy-alert-undeclared-almonds-colussi-cantuccini-chocolate-drops-cookies,
Shirakiku,"Wismettac Asian Foods, Inc.",01/20/2025,Snack foods-Corn Puffs,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wismettac-asian-foods-issues-allergy-alert-undeclared-milk-curvee-puffs-corn-puff-snack-curry-flavor,
Max Mobility/Permobil,"Max Mobility, LLC.",01/17/2025,Speed Control Dial Component,Medical Devices,Due to potential safety and performance concerns.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/max-mobility-permobil-issues-nationwide-recall-smartdrive-speed-control-dial-due-motor-being,
Monkey Spit,"Monkey Spit, LLC.",01/17/2025,Barbecue sauces,"Food & Beverages, Allergens, Gravy/Sauces","Undeclared Milk, Soy, and Wheat",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/monkey-spit-llc-issues-allergy-alert-undeclared-milkwheatsoy-monkey-spit-bbq-sauces,
"New York Mutual Trading Co., Inc.","New York Mutual Trading, Co., Inc.",01/16/2025,Monkfish Liver,"Food & Beverages, Allergens",Undeclared milk allergen.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mutual-trading-co-issues-allergy-alert-undeclared-milk-prepared-monkfish-liver,
Pearl Milling Company,The Quaker Oats Company,01/15/2025,Pancake and Waffle Mix,"Food & Beverages, Allergens",Undeclared Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/quaker-issues-limited-recall-undeclared-milk-pearl-milling-company-original-pancake-waffle-mix,
Gerber,Gerber Products Company,01/31/2025,Gerber® Soothe N Chew® Teething Sticks,"Food & Beverages, Foodborne Illness",Potential choking hazard for babies and young children,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gerber-products-company-announces-recall-and-discontinuation-all-batches-gerberr-soothe-n-chewr,
Blue Ridge Beef,Blue Ridge Beef,01/31/2025,Natural Mix,"Animal & Veterinary, Foodborne Illness, Pet Food, Food & Beverages, Foodborne Illness, Pet Food",Salmonella contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-ridge-beef-issues-recall-blue-ridge-beef-natural-mix-due-salmonella-contamination,
Alvogen,"Alvogen, Inc.",01/31/2025,Fentanyl Transdermal System 25 mcg/h transdermal patches,Drugs,"There is potential that patches could be multi-stacked, adhered one on top of the other, in a single product pouch",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/alvogen-issues-voluntary-nationwide-recall-one-lot-fentanyl-transdermal-system-25-mcgh-due-defective,
Olympus,Olympus Corporation,01/30/2025,MAJ-891 endoscope accessory,Medical Devices,Risk of device contamination that may result from improper reprocessing.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/olympus-issues-medical-device-advisory-notice-use-alternative-devices-maj-891-forcepsirrigation-plug,
Fresh Direct,United Natural Trading LLC,01/30/2025,Dark Chocolate Covered Pretzels,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/united-natural-trading-llc-announces-allergy-alert-undeclared-milk-fresh-direct-dark-chocolate,
La Fiesta,"La Fiesta Food Products, LLC.",01/28/2025,Breadcrumbs (pan Rayado),"Food & Beverages, Allergens",Undeclared allergen (sesame),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall-la-fiesta-brand-bread-crumbs-unseasoned-and-seasoned-undeclared-sesame,
Shirakiku,"Wismettac Asian Foods, Inc.",01/28/2025,Snack foods-Corn Puffs,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wismettac-asian-foods-issues-allergy-alert-undeclared-milk-curvee-puffs-corn-puff-snack,
Zaarah Herbals,New York Wholesale Group,01/27/2025,Shatavari Powder,"Food & Beverages, Contaminants",Product may be contaminated with elevated levels of lead.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-york-wholesale-group-recalls-zaarah-herbals-shatavari-powder-because-possible-health-risk,
Provepharm Inc.,Provepharm Inc.,01/24/2025,"Phenylephrine hydrochloride Injection, USP, 10 mg/ mL",Drugs,Device & Drug Safety – Potential Foreign Material,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/provepharm-inc-issues-voluntary-nationwide-recall-one-lot-phenylephrine-hydrochloride-injection-usp,
"Wabash Valley Farms, Rural King",TS FOOD PACKAGING,01/24/2025,Bacon flavor popcorn seasoning,"Food & Beverages, Allergens",Potential or Undeclared Allergen – soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ts-food-packaging-recalling-its-rural-king-and-wabash-valley-farms-bacon-seasoning-due-presence,
Paras,Apna Wholesale Inc,01/22/2025,Premium Golden Raisins,Food & Beverages,Undeclared Sulfites,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/apna-wholesale-issues-alert-undeclared-sulfites-paras-premium-golden-raisins,
Colussi,D. Coluccio & Sons,01/21/2025,“Colussi Cantuccini Chocolate Drops” chocolate chip cookies,Food & Beverages,Undeclared almond,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/d-coluccio-sons-issues-allergy-alert-undeclared-almonds-colussi-cantuccini-chocolate-drops-cookies,
Shirakiku,"Wismettac Asian Foods, Inc.",01/20/2025,Snack foods-Corn Puffs,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wismettac-asian-foods-issues-allergy-alert-undeclared-milk-curvee-puffs-corn-puff-snack-curry-flavor,
Max Mobility/Permobil,"Max Mobility, LLC.",01/17/2025,Speed Control Dial Component,Medical Devices,Due to potential safety and performance concerns.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/max-mobility-permobil-issues-nationwide-recall-smartdrive-speed-control-dial-due-motor-being,
Monkey Spit,"Monkey Spit, LLC.",01/17/2025,Barbecue sauces,"Food & Beverages, Allergens, Gravy/Sauces","Undeclared Milk, Soy, and Wheat",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/monkey-spit-llc-issues-allergy-alert-undeclared-milkwheatsoy-monkey-spit-bbq-sauces,
"New York Mutual Trading Co., Inc.","New York Mutual Trading, Co., Inc.",01/16/2025,Monkfish Liver,"Food & Beverages, Allergens",Undeclared milk allergen.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mutual-trading-co-issues-allergy-alert-undeclared-milk-prepared-monkfish-liver,
Pearl Milling Company,The Quaker Oats Company,01/15/2025,Pancake and Waffle Mix,"Food & Beverages, Allergens",Undeclared Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/quaker-issues-limited-recall-undeclared-milk-pearl-milling-company-original-pancake-waffle-mix,
NuGo,Lifestyle Evolution Inc.,01/10/2025,NuGo Dark Chocolate Chip Nutrition Bar and NuGo Dark Pretzel Chocolate Nutrition Bar,"Food & Beverages, Allergens",Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lifestyle-evolution-voluntarily-recalls-nugo-dark-chocolate-chip-and-nugo-dark-pretzel-due,
My Mochi,My Mochi Ice Cream Company LLC,01/10/2025,My Mochi Peach Mango Sorbet,"Food & Beverages, Allergens",Undeclared egg,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mochi-ice-cream-company-llc-issues-allergy-alert-undeclared-egg-peach-mango-sorbet,
Dierbergs Kitchen,Dierbergs Markets,01/07/2025,Premium Home-Style Mashed Potatoes,"Food & Beverages, Allergens",Undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dierbregs-markets-issues-allergy-alert-undeclared-wheat-product,
Wicklow Gold,Abbey Specialty Foods,01/03/2025,Cheddar style cheeses,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/abbey-specialty-foods-recalls-wicklow-gold-cheddar-nettle-chive-52-oz-and-wicklow-gold-cheddar,
Blue Ridge Beef,Blue Ridge Beef,01/03/2025,Kitten mix pet food,"Animal & Veterinary, Pet Food",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-ridge-beef-recalls-blue-ridge-beef-kitten-mix-due-salmonella-contamination,
